cargo,n_amostra,p25,p50,p75,p90,estrategia,target_oferta
Data Scientist,159,59733.5,109000.0,150000.0,206240.0000000001,PAGAR_P75,150000.0
Data Engineer,158,69805.75,108912.0,154900.0,200000.0,PAGAR_P50,108912.0
Data Analyst,119,60650.0,90320.0,116075.0,150000.0,PAGAR_P50,90320.0
Machine Learning Engineer,42,53960.75,87932.0,147000.0,192305.0,PAGAR_P75,147000.0
Research Scientist,16,62176.0,76263.5,105000.0,165721.0,PAGAR_P50_RECONHECER_DADO_RASO,76263.5
Data Science Manager,12,142285.25,155750.0,178050.0,235020.00000000003,PAGAR_P50_RECONHECER_DADO_RASO,155750.0
Data Architect,12,147063.5,175000.0,196616.75,212685.5,PAGAR_P50_RECONHECER_DADO_RASO,175000.0
Big Data Engineer,8,17557.0,41305.5,79756.0,110530.9,PAGAR_P50_RECONHECER_DADO_RASO,41305.5
Machine Learning Scientist,12,65850.0,136500.0,225000.0,256500.0,PAGAR_P50_RECONHECER_DADO_RASO,136500.0
Data Analytics Manager,7,114640.0,120000.0,142500.0,147104.0,PAGAR_P50_RECONHECER_DADO_RASO,120000.0
